PFG,,,,,,,,,17138.0,15038.0,14976.0,13976.0,14507.0,15289.0,16585.0,16234.0,14487.0,13627.0,13527.0,13373.0,14792.0,14873.0,14895.0,14854.0,15378.0,15378.0
PGR,,,,,,,,,,,,,,,26851.0,25929.0,24661.0,24638.0,25007.0,25889.0,26145.0,26501.0,28580.0,31721.0,33656.0,33656.0
PNC,21100.0,21000.0,25400.0,25400.0,25400.0,25400.0,25600.0,24900.0,24500.0,23900.0,23200.0,23700.0,23593.0,21455.0,25480.0,59595.0,49761.0,44817.0,45940.0,50947.0,49921.0,49745.0,49148.0,49360.0,50358.0,50358.0
PRU,,,,,,,,,60792.0,54086.0,39422.0,39418.0,38853.0,39814.0,40703.0,41844.0,41943.0,41044.0,50104.0,48498.0,47355.0,48331.0,49384.0,49739.0,49705.0,49705.0
RE,,,,,,,,404.0,442.0,477.0,536.0,577.0,606.0,670.0,736.0,779.0,858.0,863.0,973.0,999.0,1039.0,1063.0,1125.0,1207.0,1121.0,1276.0
RF,,,,,,,,,,,,26000.0,25000.0,35900.0,33161.0,30784.0,28509.0,27829.0,26813.0,23427.0,24255.0,23723.0,23916.0,23393.0,21714.0,21714.0
RJF,,,2639.0,2986.0,3244.0,3790.0,4480.0,4818.0,5811.0,5811.0,5811.0,5811.0,5811.0,5811.0,5811.0,6900.0,7100.0,7200.0,7600.0,10400.0,10150.0,10300.0,11000.0,11900.0,12700.0,13900.0
SCHW,6500.0,6500.0,8000.0,8900.0,12700.0,13300.0,18100.0,18100.0,19600.0,16700.0,16300.0,14200.0,14000.0,12400.0,13300.0,13400.0,12400.0,12800.0,14100.0,13800.0,13800.0,14600.0,15300.0,16200.0,17600.0,17600.0
SIVB,,,348.0,312.0,348.0,384.0,384.0,384.0,981.0,1019.0,969.0,1028.0,1033.0,1140.0,1128.0,1244.0,1258.0,1357.0,1526.0,1615.0,1704.0,1914.0,2089.0,2311.0,2438.0,2438.0
SPGI,15661.0,15339.0,15004.0,16220.0,15690.0,15897.0,16376.0,16761.0,17135.0,16505.0,16068.0,17253.0,19600.0,20214.0,21171.0,21649.0,21077.0,21000.0,22700.0,21687.0,17000.0,17000.0,17000.0,17000.0,20400.0,20400.0
STI,,,,,,,,,,,,,,33599.0,32323.0,29333.0,28001.0,29056.0,29182.0,26778.0,26281.0,24638.0,24043.0,24375.0,23785.0,23785.0
STT,10117.0,11127.0,11324.0,12792.0,14199.0,16816.0,17213.0,17604.0,19753.0,19501.0,19850.0,19668.0,20965.0,21700.0,27110.0,28475.0,27310.0,28670.0,29740.0,29660.0,29430.0,29970.0,32356.0,33783.0,36643.0,36643.0
SYF,,,,,,,,,,,,,,,,,,,,,,11000.0,12000.0,15000.0,16000.0,16000.0
TMK,2653.0,2889.0,2400.0,1750.0,2110.0,1829.0,1902.0,2032.0,2162.0,2203.0,2197.0,1775.0,2169.0,2495.0,2354.0,2195.0,2360.0,2224.0,2249.0,2570.0,2890.0,2980.0,3115.0,3128.0,3102.0,3102.0
TROW,,,,,,,,4000.0,4000.0,3710.0,3783.0,4139.0,4372.0,4605.0,5081.0,5385.0,4802.0,5052.0,5255.0,5372.0,5668.0,5870.0,210.0,6329.0,6881.0,6881.0
TRV,,12900.0,12900.0,12300.0,10200.0,10000.0,14000.0,12000.0,10500.0,10200.0,9700.0,29200.0,31900.0,32800.0,33300.0,33000.0,32000.0,32000.0,30600.0,30500.0,30800.0,30200.0,30900.0,30900.0,30800.0,30800.0
UNM,,,,1964.0,4064.0,3725.0,11900.0,12400.0,13100.0,13800.0,13400.0,11600.0,11300.0,11100.0,9700.0,9800.0,9700.0,9500.0,9400.0,9100.0,9200.0,9500.0,9400.0,9400.0,9400.0,9400.0
USB,12300.0,11997.0,13231.0,12976.0,25858.0,26526.0,26891.0,28949.0,50461.0,51673.0,51377.0,48831.0,49684.0,50000.0,50000.0,50000.0,50000.0,60584.0,62529.0,64486.0,65565.0,66750.0,65433.0,71191.0,72402.0,72402.0
WFC,35000.0,38800.0,45404.0,53369.0,57036.0,57036.0,57036.0,57036.0,119714.0,127500.0,140000.0,145500.0,153500.0,158000.0,159800.0,158900.0,267300.0,272200.0,264200.0,269200.0,264900.0,264500.0,264700.0,269100.0,262700.0,262700.0
WLTW,,,,,,,,,,13000.0,14500.0,15800.0,15400.0,16000.0,16000.0,20000.0,20000.0,20000.0,20000.0,21000.0,21700.0,22100.0,39000.0,41000.0,43000.0,43000.0
ZION,2574.0,2754.0,2855.0,3077.0,4347.0,6793.0,6833.0,6915.0,8124.0,8073.0,7896.0,8026.0,10102.0,10618.0,10933.0,11011.0,10529.0,10524.0,10606.0,10368.0,10452.0,10462.0,10462.0,10462.0,10083.0,10083.0
