date,AMG,AFL,ALL,AXP,AIG,AMP,AON,AJG,AIZ,BAC,BK,BBT,BRK-B,BLK,BHF,COF,CBOE,SCHW,CB,CINF,C,CFG,CME,CMA,DFS,ETFC,RE,FITB,FRC,BEN,GS,HIG,HBAN,ICE,IVZ,JEF,JPM,KEY,LNC,L,MTB,MMC,MET,MCO,MS,MSCI,NDAQ,NTRS,PBCT,PNC,PFG,PGR,PRU,RJF,RF,SPGI,STT,STI,SIVB,SYF,TROW,TMK,TRV,USB,UNM,WFC,WLTW,ZION
8/8/2001,43.21742579,9.964437435,21.60559951,27.21599101,1171.102931,,28.53336725,14.62110483,,19.38651729,30.79485549,20.3035536,45.88,28.3619305,,51.05121792,,11.2065822,18.30091593,20.70376346,336.5484771,,,38.29359527,,62.03123284,51.64803434,39.74963209,,9.707714864,67.57964996,44.84908667,10.99598068,,20.33602186,9.033147646,25.04102309,15.9775252,34.45857335,15.27147498,51.26121992,32.11757348,15.78525573,13.94196522,35.99745253,,,45.44016748,2.581857868,40.93622614,,28.17763456,,10.64122807,15.66724227,21.43897857,40.68681527,46.38063675,21.16,,12.41563167,15.58216077,26.95771976,14.6352224,19.69716962,14.01291828,,45.24229664
8/9/2001,42.84989719,9.790618484,21.51503712,27.22967082,1167.51719,,28.87886209,14.72208665,,19.53775743,30.79485549,20.48265471,46.24,28.65227736,,50.79812536,,11.16672949,18.33250555,20.85071032,335.2592793,,,38.2997301,,61.03714257,50.80968944,39.85064768,,9.662383485,66.13387506,45.06470728,11.00767853,,20.1555062,8.922582804,24.93285453,16.2643013,34.3827038,15.41642064,51.4418762,32.27784081,15.8461599,13.92121825,34.66261137,,,45.31170462,2.579824109,40.96062925,,28.3494494,,9.978331896,15.66234626,21.49486382,40.61707972,46.45994249,21.15,,12.24942508,15.50699357,27.36414946,14.43032928,19.60459434,13.99142608,,45.32804186
8/10/2001,42.17390709,9.719671973,21.60559951,27.25703045,1171.53322,,29.1417386,14.8921613,,19.41429609,30.89682521,20.62376468,45.74,28.22737952,,50.63483984,,11.02325973,18.27722372,20.93467996,336.8198872,,,38.31813458,,61.1365516,50.71986677,39.71175125,,9.691848882,66.75349287,44.82126465,11.05446994,,19.7944749,8.908762198,25.14318229,15.95411491,34.3620121,15.54107391,51.55156037,32.53426854,15.83508642,14.09549282,34.53901497,,,44.99054748,2.63168498,41.19855963,,28.04877342,,10.08299971,15.66724227,21.72539047,40.53959579,46.34098389,21.67,,12.25274922,15.67987813,27.31334575,14.42447519,19.58323082,14.12344963,,45.60866259
8/13/2001,43.25024085,9.535211045,22.02606777,27.33226943,1161.062857,,29.09667406,14.93467996,,19.5346709,30.59091605,20.63461929,46.22,28.14948159,,51.34513186,,10.58487992,18.24036917,20.89794324,333.3594089,,,38.56966252,,59.64541619,50.92945299,40.36203907,,9.746246537,67.9101128,45.29423889,11.12465705,,20.14928153,8.955752256,25.06506055,15.89558918,34.48616228,15.42801629,51.71286062,32.56632201,16.08977662,13.94196522,34.44631767,,,44.78357954,2.640836898,41.57680792,,28.13468085,,10.14928933,15.68193031,21.5682132,41.32993194,46.4665513,21.68,,12.38571448,15.78887057,27.40225225,14.48301608,19.5333826,14.30766853,,45.42937712
8/14/2001,43.72277762,9.595515579,22.0001928,26.94239472,1151.883361,,29.36706132,14.87090197,,19.30935395,30.54333018,20.62376468,46.1,28.60978757,,52.34933781,,10.58487992,18.17718995,21.27580661,330.7810133,,,38.47150528,,59.44659814,50.98933477,40.23576959,,9.734913692,67.16657142,45.55159252,11.09541242,,20.13060749,8.986157588,25.14318229,15.87803146,34.9137907,15.4512076,51.77738072,32.21373388,16.30570962,14.05399887,34.51429569,,,44.59802208,2.645921297,41.50359857,,28.22058827,,10.12137791,15.62807417,21.62060563,40.05919538,46.2286341,21.3,,12.50538322,15.81893745,27.84043426,14.57668151,19.72565432,14.32302011,,45.75789535
8/15/2001,43.15179569,9.698578524,21.91609915,26.44308149,1168.090909,,28.83379755,14.65830866,,19.29083475,30.23062303,20.61291007,46.26,27.90162452,,51.93295973,,10.6566148,18.07978864,21.17084456,329.7632256,,,38.34267389,,57.25959954,51.34114022,40.5956376,,9.771178795,67.62095782,45.21772835,11.08956349,,19.60773457,9.01656292,25.08308865,15.72586455,34.96207132,15.53817499,51.84190082,31.72972653,16.19497475,14.05814827,33.95811187,,,44.42673827,2.717102885,41.67442038,,28.02729657,,10.04811044,15.49588181,21.12462404,39.77250481,45.95767284,20.98,,12.54194867,15.93168825,27.84678473,14.48887017,19.37671675,14.45504366,,45.87522328
8/16/2001,43.06647655,9.844288205,21.90316166,26.09424622,1164.361738,,28.91641588,14.61579,,19.5624497,30.26461294,20.80286579,46.36,27.90162452,,50.61851129,,10.25808769,18.16929254,21.44899398,324.8778445,,,38.48377493,,56.06669122,51.16149489,40.63351845,,9.696382019,67.00134,45.05775177,10.93164249,,19.29650069,9.044204131,25.10111674,15.94826234,34.73446265,15.42511738,51.97094102,31.55663781,16.32231985,14.12661328,32.75304694,,,44.24831763,2.74252488,41.41208689,,28.1561577,,9.950420478,15.60849011,21.10366707,39.98171144,46.55246584,21.2,,12.51867975,16.02188889,27.97379401,14.64693057,19.63307904,14.2186294,,46.19591965
8/17/2001,42.06889891,9.869165468,21.87081795,25.64965224,1136.106101,,28.66856089,14.36067803,,19.34947888,29.91111791,20.73231081,46.14,27.44131853,,49.81024797,,10.16244119,18.1482328,21.64317376,316.1927225,,,38.51444907,,54.17791971,50.68244066,40.14738095,,9.501457089,63.82063521,44.86299768,10.83221075,,18.67403293,8.99168583,24.68647057,15.79609543,34.62410693,15.42221846,51.95158499,30.5181055,16.11746034,14.17231702,31.64067931,,,43.6773716,2.734389842,41.24126508,,28.28501883,,9.786440898,15.46160972,21.3062511,39.0519042,46.18237242,20.9,,12.24610095,15.97303021,28.01189679,14.46545382,19.77550254,14.14494183,,46.54008159
8/20/2001,42.06889891,9.979336202,22.32362992,26.09424622,1120.759131,,28.99152345,14.64236416,,19.62109384,29.77515828,20.78658387,46.54,27.44131853,,50.48788287,,9.995059802,18.16402761,21.87933837,321.6209237,,,38.43469631,,55.37082803,50.68244066,40.38097949,,9.544521899,63.82063521,45.21772835,10.83221075,,19.04751358,8.99168583,24.45210534,15.9775252,34.66549033,15.12887683,51.95158499,31.49253088,16.11746034,14.17231702,32.91372226,,,44.11985478,2.734389842,41.24126508,,28.28501883,,9.943442623,15.46160972,21.51582078,39.98171144,46.18237242,21.12,,12.45219711,16.02188889,27.94839215,14.61180604,19.77550254,14.46118429,,46.54008159
8/21/2001,42.49549461,9.972228413,22.25894249,25.03406059,1122.049998,,28.83379755,14.39256703,,19.60257464,29.91111791,20.77572926,46.36,27.72458375,,48.4713067,,9.979118718,18.02713928,21.85834596,318.2282979,,,38.46537045,,57.75664468,50.33812043,40.05899232,,9.385862072,62.29224459,45.37074943,11.1363549,,19.23425391,9.027619404,24.0494779,15.93655719,34.42408719,15.0795025,51.7644767,30.73927442,16.26141567,14.33435759,32.38225773,,,43.29911985,2.819807747,42.15638191,,28.28501883,,9.877153006,15.3832735,21.35864352,39.09839456,47.26621745,21.02,,12.42227993,16.06698921,27.84043426,14.39520475,19.97489544,14.52566091,,46.43839738
