,desc,docurl,filedate,path,ticker,filename
2728,0001193125-04-038979,/Archives/edgar/data/1156375/000119312504038979/0001193125-04-038979-index.htm,3/11/2004,https://www.sec.gov/Archives/edgar/data/1156375/000119312504038979/0001193125-04-038979.txt,CME,CME_2004-03-11_0001193125-04-038979.txt
2729,0001047469-03-009665,/Archives/edgar/data/1156375/000104746903009665/0001047469-03-009665-index.htm,3/21/2003,https://www.sec.gov/Archives/edgar/data/1156375/000104746903009665/0001047469-03-009665.txt,CME,CME_2003-03-21_0001047469-03-009665.txt
2730,0000912057-02-036944,/Archives/edgar/data/1156375/000091205702036944/0000912057-02-036944-index.htm,9/26/2002,https://www.sec.gov/Archives/edgar/data/1156375/000091205702036944/0000912057-02-036944.txt,CME,CME_2002-09-26_0000912057-02-036944.txt
2731,0000912057-02-023501,/Archives/edgar/data/1156375/000091205702023501/0000912057-02-023501-index.htm,6/10/2002,https://www.sec.gov/Archives/edgar/data/1156375/000091205702023501/0000912057-02-023501.txt,CME,CME_2002-06-10_0000912057-02-023501.txt
2732,0000912057-02-012345,/Archives/edgar/data/1156375/000091205702012345/0000912057-02-012345-index.htm,3/28/2002,https://www.sec.gov/Archives/edgar/data/1156375/000091205702012345/0000912057-02-012345.txt,CME,CME_2002-03-28_0000912057-02-012345.txt
2733,0001104659-18-009493,/Archives/edgar/data/811156/000110465918009493/0001104659-18-009493-index.htm,2/14/2018,https://www.sec.gov/Archives/edgar/data/811156/000110465918009493/0001104659-18-009493.txt,CMS,CMS_2018-02-14_0001104659-18-009493.txt
2734,0001104659-17-006823,/Archives/edgar/data/811156/000110465917006823/0001104659-17-006823-index.htm,2/7/2017,https://www.sec.gov/Archives/edgar/data/811156/000110465917006823/0001104659-17-006823.txt,CMS,CMS_2017-02-07_0001104659-17-006823.txt
2735,0001104659-16-095725,/Archives/edgar/data/811156/000110465916095725/0001104659-16-095725-index.htm,2/11/2016,https://www.sec.gov/Archives/edgar/data/811156/000110465916095725/0001104659-16-095725.txt,CMS,CMS_2016-02-11_0001104659-16-095725.txt
2736,0001104659-15-006843,/Archives/edgar/data/811156/000110465915006843/0001104659-15-006843-index.htm,2/5/2015,https://www.sec.gov/Archives/edgar/data/811156/000110465915006843/0001104659-15-006843.txt,CMS,CMS_2015-02-05_0001104659-15-006843.txt
2737,0001104659-14-006974,/Archives/edgar/data/811156/000110465914006974/0001104659-14-006974-index.htm,2/6/2014,https://www.sec.gov/Archives/edgar/data/811156/000110465914006974/0001104659-14-006974.txt,CMS,CMS_2014-02-06_0001104659-14-006974.txt
2738,0001047469-13-001373,/Archives/edgar/data/811156/000104746913001373/0001047469-13-001373-index.htm,2/21/2013,https://www.sec.gov/Archives/edgar/data/811156/000104746913001373/0001047469-13-001373.txt,CMS,CMS_2013-02-21_0001047469-13-001373.txt
2739,0001193125-12-074276,/Archives/edgar/data/811156/000119312512074276/0001193125-12-074276-index.htm,2/23/2012,https://www.sec.gov/Archives/edgar/data/811156/000119312512074276/0001193125-12-074276.txt,CMS,CMS_2012-02-23_0001193125-12-074276.txt
2740,0000950123-11-017966,/Archives/edgar/data/811156/000095012311017966/0000950123-11-017966-index.htm,2/24/2011,https://www.sec.gov/Archives/edgar/data/811156/000095012311017966/0000950123-11-017966.txt,CMS,CMS_2011-02-24_0000950123-11-017966.txt
2741,0000950123-10-018474,/Archives/edgar/data/811156/000095012310018474/0000950123-10-018474-index.htm,3/1/2010,https://www.sec.gov/Archives/edgar/data/811156/000095012310018474/0000950123-10-018474.txt,CMS,CMS_2010-03-01_0000950123-10-018474.txt
2742,0000950152-09-001765,/Archives/edgar/data/811156/000095015209001765/0000950152-09-001765-index.htm,2/25/2009,https://www.sec.gov/Archives/edgar/data/811156/000095015209001765/0000950152-09-001765.txt,CMS,CMS_2009-02-25_0000950152-09-001765.txt
2743,0000950124-08-000749,/Archives/edgar/data/811156/000095012408000749/0000950124-08-000749-index.htm,2/21/2008,https://www.sec.gov/Archives/edgar/data/811156/000095012408000749/0000950124-08-000749.txt,CMS,CMS_2008-02-21_0000950124-08-000749.txt
2744,0000950124-07-001061,/Archives/edgar/data/811156/000095012407001061/0000950124-07-001061-index.htm,2/23/2007,https://www.sec.gov/Archives/edgar/data/811156/000095012407001061/0000950124-07-001061.txt,CMS,CMS_2007-02-23_0000950124-07-001061.txt
2745,0000950124-06-003181,/Archives/edgar/data/811156/000095012406003181/0000950124-06-003181-index.htm,6/8/2006,https://www.sec.gov/Archives/edgar/data/811156/000095012406003181/0000950124-06-003181.txt,CMS,CMS_2006-06-08_0000950124-06-003181.txt
2746,0000950124-06-000851,/Archives/edgar/data/811156/000095012406000851/0000950124-06-000851-index.htm,2/24/2006,https://www.sec.gov/Archives/edgar/data/811156/000095012406000851/0000950124-06-000851.txt,CMS,CMS_2006-02-24_0000950124-06-000851.txt
2747,0000950124-05-004034,/Archives/edgar/data/811156/000095012405004034/0000950124-05-004034-index.htm,6/28/2005,https://www.sec.gov/Archives/edgar/data/811156/000095012405004034/0000950124-05-004034.txt,CMS,CMS_2005-06-28_0000950124-05-004034.txt
2748,0000950124-05-001425,/Archives/edgar/data/811156/000095012405001425/0000950124-05-001425-index.htm,3/10/2005,https://www.sec.gov/Archives/edgar/data/811156/000095012405001425/0000950124-05-001425.txt,CMS,CMS_2005-03-10_0000950124-05-001425.txt
2749,0000950124-04-006283,/Archives/edgar/data/811156/000095012404006283/0000950124-04-006283-index.htm,12/16/2004,https://www.sec.gov/Archives/edgar/data/811156/000095012404006283/0000950124-04-006283.txt,CMS,CMS_2004-12-16_0000950124-04-006283.txt
2750,0000950124-04-003315,/Archives/edgar/data/811156/000095012404003315/0000950124-04-003315-index.htm,7/21/2004,https://www.sec.gov/Archives/edgar/data/811156/000095012404003315/0000950124-04-003315.txt,CMS,CMS_2004-07-21_0000950124-04-003315.txt
